University of Louisiana at Monroe,700 University Avenue,Monroe,LA,"""71209-0000"""
University of Louisville,2301 S 3rd St,Louisville,KY,"""40292-0001"""
University of Maine,"5703 Alumni Hall, Suite 200",Orono,ME,"""04469-5703"""
University of Maine at Augusta,46 University Dr,Augusta,ME,"""04330-9410"""
University of Maine at Farmington,224 Main St,Farmington,ME,"""04938-9978"""
University of Maine at Fort Kent,23 University Drive,Fort Kent,ME,"""04743-1292"""
University of Maine at Machias,9 O'Brien Ave,Machias,ME,"""04654"""
University of Maine at Presque Isle,181 Main St,Presque Isle,ME,"""04769-2888"""
University of Management and Technology,"1901 North Fort Myer Drive, Suite 700",Arlington,VA,"""22209"""
University of Mary,7500 University Dr,Bismarck,ND,"""58504"""
University of Mary Hardin-Baylor,900 College St,Belton,TX,"""76513-2599"""
University of Mary Washington,1301 College Ave,Fredericksburg,VA,"""22401-5300"""
University of Maryland - Baltimore,522 West Lombard Street,Baltimore,MD,"""21201-1627"""
University of Maryland - Baltimore County,1000 Hilltop Circle,Baltimore,MD,"""21250"""
University of Maryland - College Park,Main Administration Building,College Park,MD,"""20742"""
University of Maryland - Eastern Shore,11868 Academic Oval,Princess Anne,MD,"""21853-1299"""
University of Maryland - University College,3501 University Blvd East,Adelphi,MD,"""20783-8010"""
University of Massachusetts - Boston,100 Morrissey Blvd,Boston,MA,"""02125-3393"""
University of Massachusetts - Dartmouth,285 Old Westport Rd,North Dartmouth,MA,"""02747-2300"""
University of Massachusetts - Lowell,1 University Ave,Lowell,MA,"""01854-5104"""
University of Massachusetts - Worcester,55 Lake Avenue North,Worcester,MA,"""01655"""
University of Massachusetts Amherst,181 Presidents Drive,Amherst,MA,"""01003"""
University of Medicine and Dentistry of New Jersey,65 Bergen Street,Newark,NJ,"""07101-1709"""
University of Memphis,341 Administration Building,Memphis,TN,"""38152"""
University of Miami,University Station,Coral Gables,FL,"""33124"""
University of Michigan - Ann Arbor,2074 Fleming Administration Building,Ann Arbor,MI,"""48109-1340"""
University of Michigan - Dearborn,4901 Evergreen Rd,Dearborn,MI,"""48128-1491"""
University of Michigan - Flint,303 E Kearsley,Flint,MI,"""48502-1950"""
University of Minnesota - Crookston,2900 University Ave,Crookston,MN,"""56716-5001"""
University of Minnesota - Duluth,515 Darland Administration Bldg.,Duluth,MN,"""55812"""
University of Minnesota - Morris,600 East 4th Street,Morris,MN,"""56267"""
University of Minnesota - Twin Cities,"202 Morrill Hall, 100 Church Street SE",Minneapolis,MN,"""55455-0213"""
University of Mississippi Main Campus,,University,MS,"""38677-1848"""
University of Mississippi Medical Center,2500 North State Street,Jackson,MS,"""39216-4505"""
University of Missouri - Columbia,105 Jesse Hall,Columbia,MO,"""65211"""
University of Missouri - Kansas City,5100 Rockhill Rd,Kansas City,MO,"""64110"""
University of Missouri - St Louis,One University Boulevard,Saint Louis,MO,"""63121-4400"""
University of Mobile,5735 College Parkway Drive,Mobile,AL,"""36663-0220"""
University of Montana - Helena College of Technology,1115 N Roberts Street,Helena,MT,"""59601"""
University of Montevallo,Station 6001,Montevallo,AL,"""35115"""
University of Mount Olive,634 Henderson St,Mount Olive,NC,"""28365-0919"""
University of Mount Union,1972 Clark Ave.,Alliance,OH,"""44601-3993"""
University of Nebraska - Lincoln,201 Canfield Administration Bldg. 14th & R Street,Lincoln,NE,"""68588-0419"""
University of Nebraska - Nebraska College of Technical Agriculture,404 East 7th,Curtis,NE,"""69025-9552"""
University of Nebraska at Kearney,905 W 25th St,Kearney,NE,"""68849-1212"""
University of Nebraska at Omaha,6001 Dodge St,Omaha,NE,"""68182-0225"""
University of Nebraska Medical Center,986605 Nebraska Medical Center,Omaha,NE,"""68198-6605"""
University of Nevada - Las Vegas,"Box 451002, 4505 S Maryland Pky",Las Vegas,NV,"""89154"""
University of Nevada - Reno,1664 North Virginia Street,Reno,NV,"""89557"""
University of New England,11 Hills Beach Rd,Biddeford,ME,"""04005"""
University of New Hampshire,"Thompson Hall, 105 Main Street",Durham,NH,"""03824-3547"""
University of New Haven,300 Boston Post Road,West Haven,CT,"""06516"""
University of New Mexico-Main Campus,,Albuquerque,NM,"""87131"""
University of New Orleans,2000 Lakeshore Drive,New Orleans,LA,"""70148"""
University of North Alabama,One Harrison Plaza,Florence,AL,"""35632-0001"""
University of North Carolina - Wilmington,601 South College Road,Wilmington,NC,"""28403-5963"""
University of North Carolina at Asheville,One University Hts,Asheville,NC,"""28804-8510"""
University of North Carolina at Chapel Hill,103 South Bldg Campus Box 9100,Chapel Hill,NC,"""27599"""
University of North Carolina at Charlotte,9201 University City Blvd,Charlotte,NC,"""28223-0001"""
University of North Carolina at Greensboro,1000 Spring Garden St,Greensboro,NC,"""27402-6170"""
University of North Carolina at Pembroke,One University Drive,Pembroke,NC,"""28372-1510"""
University of North Dakota,264 Centennial Drive Stop 8193,Grand Forks,ND,"""58202-8193"""
University of North Florida,1 UNF Drive,Jacksonville,FL,"""32224"""
University of North Georgia,82 College Circle,Dahlonega,GA,"""30597-1001"""
University of North Texas,1155 Union Circle #311277,Denton,TX,"""76203"""
University of North Texas at Dallas,7300 University Hills Blvd,Dallas,TX,"""75241"""
University of North Texas Health Science Center at Fort Worth,3500 Camp Bowie Blvd,Forth Worth,TX,"""76107"""
University of Northern Colorado,501 20th St.,Greeley,CO,"""80639"""
University of Northern Iowa,1222 W 27th St,Cedar Falls,IA,"""50614"""
University of Northwestern - St. Paul,3003 Snelling Ave N,Saint Paul,MN,"""55113-1598"""
University of Northwestern Ohio,1441 N Cable Rd,Lima,OH,"""45805"""
University of Notre Dame,Main Building,Notre Dame,IN,"""46556"""
University of Oklahoma,"660 Parrington Oval, Room 110",Norman,OK,"""73019"""
University of Oregon,110 Johnson Hall,Eugene,OR,"""97403"""
University of Pennsylvania,3451 Walnut Street,Philadelphia,PA,"""19104-6303"""
University of Philosophical Research,3910 Los Feliz Boulevard,Los Angeles,CA,"""90027"""
University of Phoenix,1625 Fountainhead Parkway,Tempe,AZ,"""85282"""
University of Pikeville,147 Sycamore Street,Pikeville,KY,"""41501"""
University of Pittsburgh - Bradford,300 Campus Drive,Bradford,PA,"""16701"""
University of Pittsburgh - Johnstown,450 Schoolhouse Rd,Johnstown,PA,"""15904"""
University of Pittsburgh - Main Campus,4200 Fifth Ave,Pittsburgh,PA,"""15260"""
University of Pittsburgh - Titusville,504 E Main St,Titusville,PA,"""16354"""
University of Pittsburgh Medical Center - Health System,200 Lothrop St,Pittsburgh,PA,"""15213-2582"""
University of Pittsburgh Medical Center - Shadyside School of Nursing,5230 Centre Ave,Pittsburgh,PA,"""15232"""
University of Portland,5000 N Willamette Blvd,Portland,OR,"""97203-5798"""
University of Puget Sound,1500 N Warner,Tacoma,WA,"""98416"""
University of Redlands,1200 E. Colton Ave,Redlands,CA,"""92373-0999"""
University of Rhode Island,"Green Hall, 35 Campus Avenue",Kingston,RI,"""02881"""
University of Richmond,28 Westhampton Way,Richmond,VA,"""23173"""
University of Rio Grande,218 N College Ave,Rio Grande,OH,"""45674"""
University of Rochester,Wallis Hall,Rochester,NY,"""14627"""
University of Saint Francis - Fort Wayne,2701 Spring St,Fort Wayne,IN,"""46808-3994"""
University of Saint Joseph,1678 Asylum Ave,West Hartford,CT,"""06117-2791"""
University of Saint Mary,4100 S 4th St Trafficway,Leavenworth,KS,"""66048-5082"""
University of Saint Mary of the Lake Mundelein Seminary,1000 E Maple Ave,Mundelein,IL,"""60060-1174"""
University of San Diego,5998 Alcala Park,San Diego,CA,"""92110-2492"""
University of San Francisco,2130 Fulton St,San Francisco,CA,"""94117-1080"""
University of Science and Arts of Oklahoma,1727 West Alabama,Chickasha,OK,"""73018-5322"""
University of Scranton,800 Linden Street,Scranton,PA,"""18510-4629"""
University of Sioux Falls,1101 W 22nd St,Sioux Falls,SD,"""57105-1699"""
University of South Alabama,307 N University Blvd,Mobile,AL,"""36688-0002"""
University of South Carolina - Aiken,471 University Pkwy,Aiken,SC,"""29801"""
University of South Carolina - Beaufort,1 University Boulevard,Bluffton,SC,"""29909"""
University of South Carolina - Columbia,Osborne Administration Building,Columbia,SC,"""29208"""
University of South Carolina - Upstate,800 University Way,Spartanburg,SC,"""29303-4999"""
University of South Dakota,414 E Clark St,Vermillion,SD,"""57069-2390"""
University of South Florida,4202 East Fowler Ave,Tampa,FL,"""33620-9951"""
University of South Florida Sarasota-Manatee,8350 Tamiani Trail,Sarasota,FL,"""34243-2049"""
University of Southern California,University Park,Los Angeles,CA,"""90089"""
University of Southern Indiana,8600 University Blvd,Evansville,IN,"""47712"""
University of Southern Maine,96 Falmouth St,Portland,ME,"""04103"""
University of Southern Mississippi,118 College Drive # 0001,Hattiesburg,MS,"""39406-0001"""
University of Southernmost Florida,"9550 Regency Square Boulevard, Suites 1100 and 1200",Jacksonville,FL,"""32225"""
University of Southernmost Florida - Coral Gables Campus,178 Giralda Avenue,Coral Gables,FL,"""33134"""
University of St. Augustine for Health Sciences,One University Boulevard,St. Augustine,FL,"""32086-5783"""
University of St. Francis,500 N Wilcox St,Joliet,IL,"""60435-6188"""
University of St. Thomas,2115 Summit Ave,Saint Paul,MN,"""55105-1078"""
University of Tennessee,527 Andy Holt Tower,Knoxville,TN,"""37996-0184"""
University of Texas at Austin,1 University Station,Austin,TX,"""78712"""
University of Texas Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,TX,"""75390-9096"""
University of the Cumberlands,6191 College Station Drive,Williamsburg,KY,"""40769"""
University of the District of Columbia,4200 Connecticut Ave NW,Washington,DC,"""20008"""
University of the Incarnate Word,4301 Broadway,San Antonio,TX,"""78209"""
University of the Ozarks,415 N College Ave,Clarksville,AR,"""72830"""
University of the Pacific,3601 Pacific Ave,Stockton,CA,"""95211-0197"""
University of the People,"225 South Lake Avenue, Suite 300",Pasadena,CA,"""91101"""
University of the Rockies,555 E Pikes Peak Ave #108,Colorado Springs,CO,"""80903-3612"""
University of the Sciences,600 S 43rd St,Philadelphia,PA,"""19104-4495"""
University of the Southwest,6610 Lovington Hwy,Hobbs,NM,"""88240"""
University of the Virgin Islands,2 John Brewers Bay,Charlotte Amalie,VI,"""00802-9990"""
University of the West,1409 N. Walnut Grove Avenue,Rosemead,CA,"""90066"""
University of Toledo,2801 W Bancroft,Toledo,OH,"""43606-3390"""
University of Tulsa,800 South Tucker Drive,Tulsa,OK,"""74104-3189"""
University of Utah,201 Presidents Circle,Salt Lake City,UT,"""84112-9008"""
University of Vermont,85 S Prospect St,Burlington,VT,"""05405-0160"""
University of Virginia,1707 University Avenue,Charlottesville,VA,"""22904"""
University of Washington-Seattle Campus,P.O. Box 351230,Seattle,WA,"""98195-4550"""
University of West Alabama,205 North Washington Street,Livingston,AL,"""35470"""
University of West Georgia,1601 Maple St,Carrollton,GA,"""30118-0001"""
University of Western States,2900 NE 132nd Ave,Portland,OR,"""97230-3099"""
University of Wisconsin - Eau Claire,105 Garfield Avenue,Eau Claire,WI,"""54701"""
University of Wisconsin - Green Bay,2420 Nicolet Dr,Green Bay,WI,"""54311-7001"""
University of Wisconsin - La Crosse,1725 State St,La Crosse,WI,"""54601-9959"""
University of Wisconsin - Madison,500 Lincoln Dr,Madison,WI,"""53706"""
University of Wisconsin - Milwaukee,"Dept. of Health Sciences, Enderis Hall PO Box 413",Milwaukee,WI,"""53201"""
University of Wisconsin - Oshkosh,800 Algoma Blvd,Oshkosh,WI,"""54901"""
University of Wisconsin - Parkside,900 Wood Road Box 2000,Kenosha,WI,"""53141-2000"""
University of Wisconsin - Platteville,1 University Plz,Platteville,WI,"""53818-3001"""
University of Wisconsin - River Falls,410 S 3rd St,River Falls,WI,"""54022"""
University of Wisconsin - Stevens Point,2100 Main St,Stevens Point,WI,"""54481"""
University of Wisconsin - Stout,712 Broad Way Street,Menomonie,WI,"""54751"""
University of Wisconsin - Superior,Belknap & Catlin,Superior,WI,"""54880-4500"""
University of Wisconsin - Whitewater,800 W Main St,Whitewater,WI,"""53190-1790"""
University of Wisconsin Colleges,780 Regent St,Madison,WI,"""53708-8680"""
University of Wyoming,1000 E. University Ave.,Laramie,WY,"""82071"""
UPPER BUCKS COUNTY AREA VOCATIONAL TECHNICAL SCH,3115 RIDGE RD,PERKASIE,PA,"""18944"""
Upper Bucks Institute of Aeronautics,2375 Milford Square Pike,Quakertown,PA,"""18951"""
Upper Cape Cod Regional Technical School,220 Sandwich Road,Bourne,MA,"""02532"""
Upper Iowa University,605 Washington St,Fayette,IA,"""52142-1857"""
Upper Limit Aviation,619 North 2360 West,Salt Lake CIty,UT,"""84116"""
Upper Valley Educators Institute,194 Dartmouth College Highway,Lebanon,NH,"""03766"""
Upright Citizens Brigade Theatre - Hollywood,5919 Franklin Avenue,Hollywood,CA,"""90028"""
Upright Citizens Brigade Theatre - New York,"145 West 30th Street, Fourth Floor",New York,NY,"""10001"""
Urban College of Boston,178 Tremont St 7th Fl,Boston,MA,"""02111-1093"""
Urbana University,579 College Way,Urbana,OH,"""43078-2091"""
Urshan Graduate School of Theology,704 Howdershell Road,Florissant,MO,"""63031"""
Ursinus College,601 E. Main St,Collegeville,PA,"""19426-1000"""
Ursuline College,2550 Lander Rd,Pepper Pike,OH,"""44124"""
US Army Armor School,"1 Karker Street, Suite 6600",Fort Benning,GA,"""31905"""
US PC Tech Learning Center,895 Bergen Avenue,Jersey City,NJ,"""07306"""
USA Language Center,3900 Harney St,San Diego,CA,"""92110"""
UTA Mesivta of Kiryas Joel,"48 Bakertown Road, Suite 501",Monroe,NY,"""10950"""
Utah State University,Old Main Hill,Logan,UT,"""84322-1400"""
Utah Valley University,800 W University Parkway,Orem,UT,"""84058-5999"""
UTI of Illinois Inc,601 Regency Dr,Glendale Heights,IL,"""60139"""
Utica College,1600 Burrstone Rd,Utica,NY,"""13502-4892"""
Utica School of Commerce,201 Bleecker St,Utica,NY,"""13501"""
Valdosta State University,1500 N Patterson,Valdosta,GA,"""31698"""
Valencia College,190 South Orange Avenue,Orlando,FL,"""32801"""
Valley City State University,101 SW College St.,Valley City,ND,"""58072"""
Valley College - Beckley,"120 New River Town Center, Suite C",Beckley,WV,"""25801"""
Valley College - Martinsburg,287 Aikens Ctr Edwin Miller Blvd,Martinsburg,WV,"""25404-6203"""
Valley College - Princeton,616 Harrison Street,Princeton,WV,"""24740"""
Valley College of Medical Careers - West Hills,"8399 Topanga Canyon Boulevard, Suite 200",West Hills,CA,"""91304"""
Valley Forge Christian College,1401 Charlestown Road,Phoenixville,PA,"""19460"""
Valley Forge Military College,1001 Eagle Rd Sorley House,Wayne,PA,"""19087-3695"""
Valley Grande Institute for Academic Studies,414 S Missouri Ave,Weslaco,TX,"""78596"""
Valparaiso University,1700 Chapel Drive OP Kretzmann Hall,Valparaiso,IN,"""46383-6493"""
Vance-Granville Community College,PO Box 917 State Rd 1126,Henderson,NC,"""27536"""
Vanderbilt University,2101 West End Avenue,Nashville,TN,"""37240"""
VanderCook College of Music,3140 S. Federal St.,Chicago,IL,"""60616-3731"""
Vanguard Institute of Technology,3107 N. Sugar Road,Pharr,TX,"""78577"""
Vanguard University of Southern California,55 Fair Dr,Costa Mesa,CA,"""92626"""
Vassar College,124 Raymond Ave,Poughkeepsie,NY,"""12604"""
Vatterott Career College,6991 Appling Farms Parkway,Memphis,TN,"""38133"""
Vatterott College - Berkeley,8580 Evans Avenue,Berkeley,MO,"""63134"""
Vatterott College - Cleveland,5025 E Royalton Rd,Broadview Heights,OH,"""44147-3502"""
Vatterott College - Des Moines,7000 Fleur Drive,Des Moines,IA,"""50321"""
Vatterott College - Fairview Heights,110 Commerce Lane,Fairview Heights,IL,"""62208"""
Vatterott College - Joplin,809 Illinois,Joplin,MO,"""64801"""
Vatterott College - Kansas City,8955 E 38th Terrace,Kansas City,MO,"""64129"""
Vatterott College - Memphis,2655 Dividend Drive,Memphis,TN,"""38132"""
Vatterott College - Oklahoma City,4621 NW 23,Oklahoma City,OK,"""73127"""
Vatterott College - Quincy,3609 North Marx Drive,Quincy,IL,"""62305"""
Vatterott College - Saint Joseph,3131 Frederick,Saint Joseph,MO,"""64506"""
Vatterott College - Spring Valley Campus,11818 I Street,Omaha,NE,"""68137"""
Vatterott College - Springfield,3850 South Campbell,Springfield,MO,"""65807"""
Vatterott College - St. Charles Campus,3550 W. Clay Street,St. Charles,MO,"""63301"""
Vatterott College - Sunset Hills,12970 Maurer Industrial Dr,Sunset Hills,MO,"""63127-1516"""
Vatterott College - Tulsa,"4343 S. 118th E. Ave, Suite A",Tulsa,OK,"""74146"""
Vatterott College - Wichita,8853 37th Street North,Wichita,KS,"""67226-1304"""
Vatterott Education Center,"9713 Harry Hines Boulvard, Suite 110",Dallas,TX,"""75220"""
Vaughn College of Aeronautics and Technology,86-01 23rd Avenue,Flushing,NY,"""11369"""
Ventura Adult and Continuing Education,5200 Valentine Rd,Ventura,CA,"""93003-0000"""
Ventura College,4667 Telegraph Rd,Ventura,CA,"""93003-3872"""
