University of Saint Mary|KS
University of Saint Mary of the Lake Mundelein Seminary|IL
University of San Diego|CA
University of San Francisco|CA
University of Science and Arts of Oklahoma|OK
University of Scranton|PA
University of Sioux Falls|SD
University of South Alabama|AL
University of South Carolina - Aiken|SC
University of South Carolina - Beaufort|SC
University of South Carolina - Columbia|SC
University of South Carolina - Upstate|SC
University of South Dakota|SD
University of South Florida|FL
University of South Florida Sarasota-Manatee|FL
University of Southern California|CA
University of Southern Indiana|IN
University of Southern Maine|ME
University of Southern Mississippi|MS
University of Southernmost Florida|FL
University of Southernmost Florida - Coral Gables Campus|FL
University of St. Augustine for Health Sciences|FL
University of St. Francis|IL
University of St. Thomas|MN
University of St. Thomas|TX
University of Tennessee|TN
University of Texas at Austin|TX
University of Texas Southwestern Medical Center|TX
University of the Cumberlands|KY
University of the District of Columbia|DC
University of the Incarnate Word|TX
University of the Ozarks|AR
University of the Pacific|CA
University of the People|CA
University of the Rockies|CO
University of the Sacred Heart|PR
University of the Sciences|PA
University of the Southwest|NM
University of the Virgin Islands|VI
University of the West|CA
University of Toledo|OH
University of Tulsa|OK
University of Utah|UT
University of Vermont|VT
University of Virginia|VA
University of Washington-Seattle Campus|WA
University of West Alabama|AL
University of West Georgia|GA
University of Western States|OR
University of Wisconsin - Eau Claire|WI
University of Wisconsin - Green Bay|WI
University of Wisconsin - La Crosse|WI
University of Wisconsin - Madison|WI
University of Wisconsin - Milwaukee|WI
University of Wisconsin - Oshkosh|WI
University of Wisconsin - Parkside|WI
University of Wisconsin - Platteville|WI
University of Wisconsin - River Falls|WI
University of Wisconsin - Stevens Point|WI
University of Wisconsin - Stout|WI
University of Wisconsin - Superior|WI
University of Wisconsin - Whitewater|WI
University of Wisconsin Colleges|WI
University of Wyoming|WY
UPPER BUCKS COUNTY AREA VOCATIONAL TECHNICAL SCH|PA
Upper Bucks Institute of Aeronautics|PA
Upper Cape Cod Regional Technical School|MA
Upper Iowa University|IA
Upper Limit Aviation|UT
Upper Valley Educators Institute|NH
UPR - Ponce|PR
Upright Citizens Brigade Theatre - Hollywood|CA
Upright Citizens Brigade Theatre - New York|NY
Urban College of Boston|MA
Urbana University|OH
Urshan Graduate School of Theology|MO
Ursinus College|PA
Ursuline College|OH
US Army Armor School|GA
US PC Tech Learning Center|NJ
USA Language Center|CA
UTA Mesivta of Kiryas Joel|NY
Utah State University|UT
Utah Valley University|UT
UTI of Illinois Inc|IL
Utica College|NY
Utica School of Commerce|NY
Valdosta State University|GA
Valencia College|FL
Valley City State University|ND
Valley College - Beckley|WV
Valley College - Martinsburg|WV
Valley College - Princeton|WV
Valley College of Medical Careers - West Hills|CA
Valley Forge Christian College|PA
Valley Forge Military College|PA
Valley Grande Institute for Academic Studies|TX
Valor Christian College|OH
Valparaiso University|IN
Van Andel Institute of Graduate Studies|MI
Vance-Granville Community College|NC
Vanderbilt University|TN
VanderCook College of Music|IL
Vanguard Institute of Technology|TX
Vanguard University of Southern California|CA
Vassar College|NY
Vatterott Career College|TN
Vatterott College - Berkeley|MO
Vatterott College - Cleveland|OH
Vatterott College - Des Moines|IA
Vatterott College - Fairview Heights|IL
Vatterott College - Joplin|MO
Vatterott College - Kansas City|MO
Vatterott College - Memphis|TN
Vatterott College - Oklahoma City|OK
Vatterott College - Quincy|IL
Vatterott College - Saint Joseph|MO
Vatterott College - Spring Valley Campus|NE
Vatterott College - Springfield|MO
Vatterott College - St. Charles Campus|MO
Vatterott College - Sunset Hills|MO
Vatterott College - Tulsa|OK
Vatterott College - Wichita|KS
Vatterott Education Center|TX
Vaughn College of Aeronautics and Technology|NY
Ventura Adult and Continuing Education|CA
Ventura College|CA
Veritas Evangelical Seminary|CA
Vermilion Community College|MN
Vermont College of Fine Arts|VT
Vermont Law School|VT
Vermont Technical College|VT
Vermont Training Solutions, Inc. Dale Carnegie Training|VT
Vernon College|TX
Vet Tech Institute|PA
Vet Tech Institute of Houston|TX
Victor Valley College|CA
Victoria College|TX
Victory University|TN
Video Symphony Enter Training, Inc.|CA
Villa Maria College Buffalo|NY
Villa Montessori School (AMS)|AZ
Village Montessori|FL
Villanova University|PA
Vincennes University|IN
Virginia Baptist College|VA
Virginia Beach Theological Seminary|VA
Virginia Center for Montessori Studies|VA
Virginia College - Birmingham|AL
Virginia Commonwealth University|VA
Virginia Highlands Community College|VA
Virginia Intermont College|VA
Virginia International University|VA
Virginia Marti College of Art and Design|OH
Virginia Military Institute|VA
Virginia Montessori Teacher Education Center|VA
Virginia Polytechnic Institute and State University|VA
Virginia State University|VA
Virginia Theological Seminary|VA
Virginia Union University|VA
Virginia University of Lynchburg|VA
Virginia University of Oriental Medicine|VA
Virginia Wesleyan College|VA
Virginia Western Community College|VA
Visible Music College|TN
Vista College|TX
Vista College|UT
Viterbo University|WI
Vocational Institute of Florida|FL
Vogue College - McAllen|TX
Vogue College - San Antonio|TX
Volunteer State Community College|TN
Voorhees College|SC
Vortex Helicopters|MS
W. L. Bonner College|SC
W.T.I. - Tulsa Campus|OK
Wabash College|IN
Wackenhut Services, Inc., Savannah River Site|SC
Wade College|TX
Wade Powell & Associates, Inc. Dale Carnegie Training|VA
Wagner College|NY
Wake Forest University|NC
Wake Technical Community College|NC
Walden University|MN
Waldorf College|IA
Walla Walla Community College|WA
Walla Walla University|WA
Wallace State Community College  - Hanceville|AL
Walsh College of Accountancy and Business Administration|MI
Walsh University|OH
Walter Jay M.D. Institute|CA
Walters State Community College|TN
Walton Career Development Center|FL
Warner Pacific College|OR
Warner University|FL
Warren County Community College|NJ
Warren Wilson College|NC
Warrensburg  Area Voc-Technical School|MO
Wartburg College|IA
Wartburg Theological Seminary|IA
Washburn University|KS
Washington & Jefferson College|PA
Washington Adventist Hospital|MD
Washington Adventist University|MD
Washington and Lee University|VA
Washington Baptist University|VA
Washington Bible College and Capital Bible Seminary|MD
Washington College|MD
Washington County Adult Skill Center|VA
Washington County Community College|ME
Washington Hospital School of Radiologic Technology|PA
Washington Montessori Teacher Education Program|CT
Washington Online Learning Institute, Inc.|NY
Washington State Community College|OH
Washington State University|WA
Washington Theological Union|DC
Washington University in St Louis|MO
Washington-Holmes Technical Center|FL
Washtenaw Community College|MI
Watkins College of Art, Design & Film|TN
Waubonsee Community College|IL
Waukesha County Technical College|WI
Wave Leadership College|VA
Waycross College|GA
Wayland Baptist University|TX
Wayne Community College|NC
Wayne County Community College District|MI
Wayne State College|NE
Wayne State University|MI
Wayne-Finger Lakes BOCES|NY
Waynesburg University|PA
Weatherford College|TX
Webb Institute|NY
Webber International University|FL
Weber State University|UT
Webster University|MO
Welch College|TN
Welder Training and Testing Institute|PA
Wellesley College|MA
Wells College|NY
WellSpring School of Allied Health - Kansas City|MO
Wenatchee Valley College|WA
Wentworth Institute of Technology|MA
Wentworth Military Academy and Junior College|MO
Wes Watkins Technology Center|OK
Wesley Biblical Seminary|MS
Wesley College|DE
Wesley Theological Seminary|DC
Wesleyan College|GA
Wesleyan University|CT
West Central Technical College|GA
West Chester University of Pennsylvania|PA
West Coast Ultrasound Institute|CA
West Coast Ultrasound Institute - Phoenix|AZ
West Coast University|CA
West Georgia Technical College|GA
West Hills College - Coalinga|CA
West Hills College - Lemoore|CA
West Kentucky Community and Technical College|KY
West Liberty University|WV
West Los Angeles College|CA
West Shore Community College|MI
West Side Montessori School's Teacher Education Program (AMS)|NY
West Tennessee Business College|TN
West Texas A & M University|TX
West Valley College|CA
West Virginia Business College - Wheeling|WV
West Virginia Junior College - Charleston|WV
West Virginia Junior College - Morgantown|WV
West Virginia Northern Community College|WV
West Virginia School of Osteopathic Medicine|WV
West Virginia State University|WV
West Virginia University|WV
West Virginia University at Parkersburg|WV
West Virginia University Hospitals - Radiologic Technology Programs|WV
West Virginia Wesleyan College|WV
Westchester School for Dental Assistants LLC|NY
Westech College|CA
Westech College - Victorville|CA
Western Area Career and Technology Center|PA
Western Career Institute|AZ
Western Carolina University|NC
Western Connecticut State University|CT
Western Dakota Technical Institute|SD
Western Governors University|UT
Western Illinois University|IL
Western International University|AZ
Western Iowa Tech Community College|IA
Western Kentucky University|KY
Western Maricopa Education Center|AZ
Western Michigan University|MI
Western Nebraska Community College|NE
Western Nevada College|NV
Western New England College|MA
Western New Mexico University|NM
Western Oklahoma State College|OK
Western Oregon University|OR
Western Piedmont Community College|NC
Western Seminary|OR
Western State College of Colorado|CO
Western State University - College of Law|CA
Western Suffolk BOCES|NY
Western Technical College|TX
Western Technical College|WI
Western Technology Center|OK
Western Texas College|TX
Western Theological Seminary|MI
Western University of Health Sciences|CA
Western Washington University|WA
Western Wyoming Community College|WY
Westfield State University|MA
Westlawn Institute of Marine Technology|ME
WestMed College|CA
Westminster College|MO
Westminster College|PA
Westminster College|UT
Westminster Seminary California|CA
Westminster Theological Seminary|PA
Westmont College|CA
Westmoreland County Community College|PA
Westside Tech|FL
